,date_gmt,Max,Min,AVG,1992,1998,2000,2016,2017,2018,2019,2020,2021,2022,2023,2024,floodLevel,alarmLevel
0,06-01,4.95,0.0,2.69,2.04,2.48,4.95,2.02,4.08,2.59,1.99,1.85,2.37,3.84,1.72,2.0,12,10.5
1,06-02,4.9,0.0,2.72,2.1,2.43,4.9,2.04,4.05,2.59,2.05,1.77,2.27,3.82,1.72,2.02,12,10.5
2,06-03,4.9,0.0,2.76,2.16,2.43,4.9,2.02,4.0,2.62,2.14,1.64,2.26,3.81,1.76,1.91,12,10.5
3,06-04,4.95,0.0,2.81,2.18,2.42,4.95,2.04,3.96,2.68,2.19,1.73,2.12,3.81,1.81,1.79,12,10.5
4,06-05,5.15,0.0,2.86,2.2,2.42,5.15,2.1,3.8,2.79,2.27,1.8,1.98,3.82,1.84,1.85,12,10.5
5,06-06,5.28,0.0,2.9,2.2,2.42,5.28,2.1,3.71,2.85,2.35,1.9,1.85,3.87,1.87,2.0,12,10.5
6,06-07,5.32,0.0,2.97,2.18,2.44,5.29,2.18,3.67,2.85,2.37,1.95,1.83,3.87,1.97,2.03,12,10.5
7,06-08,5.51,0.0,3.04,2.17,2.46,5.15,2.19,3.66,2.92,2.37,1.94,1.76,3.86,2.04,2.1,12,10.5
8,06-09,5.8,0.0,3.12,2.2,2.52,5.0,2.27,3.65,2.97,2.43,1.97,1.91,3.82,2.11,2.15,12,10.5
9,06-10,6.0,0.0,3.19,2.23,2.56,4.91,2.11,3.55,2.93,2.47,1.97,1.92,3.76,2.17,2.13,12,10.5
10,06-11,5.95,0.0,3.24,2.26,2.63,4.83,2.08,3.61,2.97,2.49,1.97,1.95,3.69,2.25,2.18,12,10.5
11,06-12,5.83,0.0,3.31,2.32,2.74,4.81,2.02,3.75,3.22,2.51,1.9,2.17,3.66,2.2,2.15,12,10.5
12,06-13,5.75,0.0,3.38,2.4,2.82,4.8,1.98,3.95,3.43,2.49,1.93,2.18,3.62,2.15,2.15,12,10.5
13,06-14,5.65,0.0,3.46,2.53,2.88,4.78,1.95,4.1,3.67,2.43,1.84,2.27,3.64,2.14,2.12,12,10.5
14,06-15,5.5,0.0,3.53,2.68,2.9,4.7,1.94,4.22,3.96,2.41,1.87,2.42,3.65,2.16,2.05,12,10.5
15,06-16,5.75,0.0,3.6,2.82,2.88,4.7,2.08,4.35,4.19,2.35,1.72,2.76,3.67,2.25,1.99,12,10.5
16,06-17,6.37,0.0,3.68,2.9,2.88,4.8,2.17,4.33,3.94,2.35,1.68,3.12,3.62,2.35,1.95,12,10.5
17,06-18,7.06,0.0,3.76,2.96,2.86,5.08,2.14,4.29,3.83,2.32,1.77,3.28,3.54,2.42,1.93,12,10.5
18,06-19,7.34,0.0,3.85,2.97,2.83,5.65,2.28,4.25,3.88,2.38,1.81,3.35,3.51,2.43,1.8,12,10.5
19,06-20,7.45,0.0,3.93,2.93,2.78,6.25,2.24,4.2,4.16,2.39,1.86,3.44,3.45,2.43,1.94,12,10.5
20,06-21,7.56,0.0,4.04,2.96,2.73,6.6,2.29,4.15,4.26,2.42,1.9,3.48,3.39,2.43,1.98,12,10.5
21,06-22,7.72,0.0,4.13,3.08,2.69,6.75,2.27,4.14,4.16,2.53,1.98,3.47,3.42,2.47,2.07,12,10.5
22,06-23,7.83,0.0,4.23,3.32,2.64,6.78,2.32,4.25,4.04,2.58,2.1,3.4,3.43,2.54,2.15,12,10.5
23,06-24,7.91,0.0,4.34,3.61,2.59,6.82,2.39,4.29,3.86,2.53,2.16,3.42,3.4,2.55,2.2,12,10.5
24,06-25,8.94,0.0,4.43,3.76,2.54,6.85,2.48,4.31,3.66,2.53,2.36,3.4,3.36,2.53,2.35,12,10.5
25,06-26,8.43,0.0,4.5,3.77,2.54,6.88,2.55,4.4,3.54,2.41,2.45,3.36,3.32,2.44,2.59,12,10.5
