DATE_GMT,water_level
06-01-2016,2.02
06-02-2016,2.04
06-03-2016,2.02
06-04-2016,2.04
06-05-2016,2.1
06-06-2016,2.1
06-07-2016,2.18
06-08-2016,2.19
06-09-2016,2.27
06-10-2016,2.11
06-11-2016,2.08
06-12-2016,2.02
06-13-2016,1.98
06-14-2016,1.95
06-15-2016,1.94
06-16-2016,2.08
06-17-2016,2.17
06-18-2016,2.14
06-19-2016,2.28
06-20-2016,2.24
06-21-2016,2.29
06-22-2016,2.27
06-23-2016,2.32
06-24-2016,2.39
06-25-2016,2.48
06-26-2016,2.55
06-27-2016,2.55
06-28-2016,2.61
06-29-2016,2.93
06-30-2016,3.61
07-01-2016,4.3
07-02-2016,4.58
07-03-2016,4.46
07-04-2016,4.13
07-05-2016,3.78
07-06-2016,3.63
07-07-2016,3.62
07-08-2016,3.85
07-09-2016,4.19
07-10-2016,4.59
07-11-2016,4.86
07-12-2016,4.96
07-13-2016,5.12
07-14-2016,5.27
07-15-2016,5.22
07-16-2016,5.07
07-17-2016,4.97
07-18-2016,4.88
07-19-2016,4.85
07-20-2016,4.87
07-21-2016,4.9
07-22-2016,4.78
07-23-2016,4.5
07-24-2016,4.46
07-25-2016,4.3
07-26-2016,4.18
07-27-2016,4.15
07-28-2016,4.12
07-29-2016,4.15
07-30-2016,4.22
07-31-2016,4.25
08-01-2016,4.21
08-02-2016,4.1
08-03-2016,4.15
08-04-2016,4.2
08-05-2016,4.48
08-06-2016,4.97
08-07-2016,5.13
08-08-2016,4.98
08-09-2016,4.76
08-10-2016,4.61
08-11-2016,4.56
08-12-2016,4.65
08-13-2016,4.78
08-14-2016,5.11
08-15-2016,5.42
08-16-2016,5.64
08-17-2016,5.67
08-18-2016,5.66
08-19-2016,5.78
08-20-2016,5.89
08-21-2016,6.04
08-22-2016,6.35
08-23-2016,6.52
08-24-2016,6.59
08-25-2016,6.85
08-26-2016,6.94
08-27-2016,6.94
08-28-2016,6.83
08-29-2016,6.76
08-30-2016,6.71
08-31-2016,6.66
09-01-2016,6.64
09-02-2016,6.62
09-03-2016,6.59
09-04-2016,6.53
09-05-2016,6.47
09-06-2016,6.45
09-07-2016,6.47
09-08-2016,6.64
09-09-2016,6.83
09-10-2016,6.92
09-11-2016,6.85
09-12-2016,6.79
09-13-2016,6.89
09-14-2016,7.14
09-15-2016,7.49
09-16-2016,7.85
09-17-2016,8.02
09-18-2016,8.05
09-19-2016,8.02
09-20-2016,8.02
09-21-2016,8.06
09-22-2016,8.13
09-23-2016,8.09
09-24-2016,8.02
09-25-2016,7.96
09-26-2016,7.92
09-27-2016,7.86
09-28-2016,7.79
09-29-2016,7.78
09-30-2016,7.77
10-01-2016,7.77
10-02-2016,7.8
10-03-2016,7.86
10-04-2016,7.8
10-05-2016,7.77
10-06-2016,7.74
10-07-2016,7.73
10-08-2016,7.73
10-09-2016,7.81
10-10-2016,7.88
10-11-2016,7.96
10-12-2016,7.97
10-13-2016,7.95
10-14-2016,7.9
10-15-2016,7.86
10-16-2016,7.75
10-17-2016,7.63
10-18-2016,7.64
10-19-2016,7.75
10-20-2016,7.74
10-21-2016,7.65
10-22-2016,7.57
10-23-2016,7.42
10-24-2016,7.27
10-25-2016,7.2
10-26-2016,7.25
10-27-2016,7.25
10-28-2016,7.17
10-29-2016,7.05
10-30-2016,6.93
10-31-2016,6.8
06-01-2017,4.08
06-02-2017,4.05
06-03-2017,4.0
06-04-2017,3.96
06-05-2017,3.8
06-06-2017,3.71
06-07-2017,3.67
06-08-2017,3.66
06-09-2017,3.65
06-10-2017,3.55
06-11-2017,3.61
06-12-2017,3.75
06-13-2017,3.95
06-14-2017,4.1
06-15-2017,4.22
06-16-2017,4.35
06-17-2017,4.33
06-18-2017,4.29
06-19-2017,4.25
06-20-2017,4.2
06-21-2017,4.15
06-22-2017,4.14
06-23-2017,4.25
06-24-2017,4.29
06-25-2017,4.31
06-26-2017,4.4
06-27-2017,4.58
06-28-2017,4.67
06-29-2017,4.62
06-30-2017,4.52
07-01-2017,4.4
07-02-2017,4.31
07-03-2017,4.31
07-04-2017,4.3
07-05-2017,4.3
07-06-2017,4.29
07-07-2017,4.32
07-08-2017,4.42
07-09-2017,4.54
07-10-2017,4.73
07-11-2017,5.0
07-12-2017,5.12
07-13-2017,5.28
07-14-2017,5.39
07-15-2017,5.5
07-16-2017,5.63
07-17-2017,5.84
07-18-2017,6.32
07-19-2017,6.65
07-20-2017,6.9
07-21-2017,7.13
07-22-2017,7.29
07-23-2017,7.38
07-24-2017,7.4
07-25-2017,7.45
07-26-2017,7.56
07-27-2017,7.85
07-28-2017,8.22
07-29-2017,8.44
07-30-2017,8.59
07-31-2017,8.71
08-01-2017,8.82
08-02-2017,8.86
08-03-2017,8.86
08-04-2017,8.79
08-05-2017,8.76
08-06-2017,8.75
08-07-2017,8.75
08-08-2017,8.75
08-09-2017,8.71
08-10-2017,8.67
08-11-2017,8.63
08-12-2017,8.6
08-13-2017,8.52
08-14-2017,8.48
08-15-2017,8.39
08-16-2017,8.29
08-17-2017,8.24
08-18-2017,8.17
08-19-2017,8.16
08-20-2017,8.13
08-21-2017,8.12
08-22-2017,8.07
08-23-2017,7.95
08-24-2017,7.95
08-25-2017,7.99
08-26-2017,8.08
08-27-2017,8.14
08-28-2017,8.21
08-29-2017,8.27
08-30-2017,8.34
08-31-2017,8.35
09-01-2017,8.35
09-02-2017,8.35
09-03-2017,8.35
09-04-2017,8.36
09-05-2017,8.38
09-06-2017,8.39
09-07-2017,8.41
09-08-2017,8.43
