DATE_GMT,precipitation
1-Jan-11,0
2-Jan-11,0
3-Jan-11,0
4-Jan-11,0
5-Jan-11,0
6-Jan-11,0
7-Jan-11,0
8-Jan-11,0
9-Jan-11,0
10-Jan-11,0.088
11-Jan-11,0
12-Jan-11,3.894
13-Jan-11,0.948
14-Jan-11,0.079
15-Jan-11,0
16-Jan-11,0
17-Jan-11,0
18-Jan-11,1.446
19-Jan-11,0
20-Jan-11,0
21-Jan-11,0
22-Jan-11,0
23-Jan-11,0
24-Jan-11,0
25-Jan-11,0
26-Jan-11,0
27-Jan-11,0
28-Jan-11,0
29-Jan-11,0
30-Jan-11,0
31-Jan-11,0
1-Feb-11,0
2-Feb-11,0
3-Feb-11,0
4-Feb-11,0
5-Feb-11,0
6-Feb-11,0
7-Feb-11,0
8-Feb-11,0
9-Feb-11,0
10-Feb-11,0
11-Feb-11,0
12-Feb-11,0
13-Feb-11,0
14-Feb-11,0
15-Feb-11,0
16-Feb-11,0
17-Feb-11,0
18-Feb-11,0
19-Feb-11,0.494
20-Feb-11,2.465
21-Feb-11,0
22-Feb-11,0
23-Feb-11,0
24-Feb-11,0
25-Feb-11,0
26-Feb-11,0
27-Feb-11,0
28-Feb-11,2.582
1-Mar-11,7.981
2-Mar-11,0.62
3-Mar-11,2.045
4-Mar-11,0
5-Mar-11,9.416
6-Mar-11,0
7-Mar-11,0
8-Mar-11,0
9-Mar-11,0
10-Mar-11,0
11-Mar-11,0
12-Mar-11,11.381
13-Mar-11,0
14-Mar-11,0
15-Mar-11,0
16-Mar-11,0
17-Mar-11,0
18-Mar-11,0
19-Mar-11,0
20-Mar-11,0
21-Mar-11,19.71
22-Mar-11,9.882
23-Mar-11,18.436
24-Mar-11,6.451
25-Mar-11,0
26-Mar-11,0
27-Mar-11,0
28-Mar-11,0
29-Mar-11,0
30-Mar-11,0
31-Mar-11,0
1-Apr-11,12.258
2-Apr-11,1.624
3-Apr-11,12.258
4-Apr-11,0
5-Apr-11,0
6-Apr-11,0
7-Apr-11,0
8-Apr-11,0
9-Apr-11,0
10-Apr-11,0
11-Apr-11,0
12-Apr-11,0
13-Apr-11,0
14-Apr-11,0
15-Apr-11,0
16-Apr-11,0
17-Apr-11,0
18-Apr-11,9.085
19-Apr-11,7.5
20-Apr-11,0
21-Apr-11,0
22-Apr-11,0
23-Apr-11,22.51
24-Apr-11,0
25-Apr-11,2.539
26-Apr-11,0
27-Apr-11,0
28-Apr-11,7.642
29-Apr-11,1.953
30-Apr-11,0.362
1-May-11,0.417
2-May-11,16.708
3-May-11,0
4-May-11,14.012
5-May-11,3.678
6-May-11,6.345
7-May-11,5.047
8-May-11,3.781
9-May-11,10.895
10-May-11,0.924
11-May-11,4.068
12-May-11,11.6
13-May-11,5.167
14-May-11,7.733
15-May-11,7.733
16-May-11,3.955
17-May-11,3.955
18-May-11,7.909
19-May-11,2.765
20-May-11,0.491
21-May-11,0
22-May-11,0.836
23-May-11,0.589
24-May-11,0
25-May-11,17.003
26-May-11,2.364
27-May-11,9.223
28-May-11,9.918
29-May-11,11.267
30-May-11,0
31-May-11,3.756
1-Jun-11,3.964
2-Jun-11,0.575
3-Jun-11,4.705
4-Jun-11,8.964
5-Jun-11,10.143
6-Jun-11,12.871
